unique_no,sex,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,location,offspring,orientation,pets,religion,sign,smokes,speaks,status,question1,question2,question3,question4,question5,weight
0,m,22,fat,anything,socially,never,working on college/university,asian  white,75,-1,transportation,"south san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism,gemini,sometimes,english,single,3,9,4,8,8,56
1,m,35,average,other,often,sometimes,working on space camp,white,70,80000,hospitality / travel,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism,cancer,no,english,single,2,9,1,10,9,96
2,m,38,thin,anything,socially,never,graduated from masters program,white,68,-1,,"san francisco, california",,straight,has cats,other,pisces,no,"english,",available,7,3,1,6,5,92
3,m,23,thin,vegetarian,socially,never,working on college/university,white,71,20000,student,"berkeley, california",doesn&rsquo;t want kids,straight,likes cats,other,pisces,no,"english,",single,7,9,3,2,4,93
4,m,29,athletic,anything,socially,never,graduated from college/university,asian  black  other,66,-1,artistic / musical / writer,"san francisco, california",,straight,likes dogs and likes cats,other,aquarius,no,english,single,10,10,9,1,2,78
5,m,29,average,anything,socially,never,graduated from college/university,white,67,-1,computer / hardware / software,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes cats,atheism,taurus,no,english,single,7,8,8,3,5,77
6,f,32,fit,anything,socially,never,graduated from college/university,white  other,65,-1,,"san francisco, california",,straight,likes dogs and likes cats,other,virgo,,english,single,2,8,8,1,8,97
7,f,31,average,anything,socially,never,graduated from college/university,white,65,-1,artistic / musical / writer,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity,sagittarius,no,"english,",single,9,9,6,8,3,60
8,f,24,average,anything,socially,never,graduated from college/university,white,67,-1,,"belvedere tiburon, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,christianity,gemini,when drinking,english,single,3,6,4,3,10,78
9,m,37,athletic,anything,not at all,never,working on two-year college,white,65,-1,student,"san mateo, california",,straight,likes dogs and likes cats,atheism,cancer,no,english,single,4,3,7,2,1,69
10,m,35,average,anything,socially,never,,white,70,-1,,"san francisco, california",,straight,,other,taurus,yes,english,available,5,8,3,5,10,92
11,m,28,average,anything,socially,never,graduated from college/university,white,72,40000,banking / financial / real estate,"daly city, california",,straight,likes cats,christianity,leo,no,english,seeing someone,1,4,3,9,5,58
12,m,24,average,anything,often,never,,white,72,-1,entertainment / media,"san francisco, california",doesn&rsquo;t have kids,straight,,other,taurus,,english,single,6,3,3,4,7,89
13,f,30,thin,anything,socially,never,graduated from high school,white,66,30000,sales / marketing / biz dev,"san francisco, california",,straight,has dogs and likes cats,christianity,taurus,no,english,single,8,2,9,9,6,91
14,f,29,thin,anything,socially,never,working on college/university,hispanic   latin  white,62,50000,other,"san leandro, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,catholicism,taurus,no,english,single,10,8,3,6,3,73
15,f,39,fit,anything,socially,never,graduated from college/university,white,65,-1,medicine / health,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,atheism,aquarius,no,english,single,10,10,4,1,5,80
16,m,33,fit,anything,socially,never,working on masters program,white,70,-1,entertainment / media,"oakland, california",,straight,likes dogs and likes cats,other,pisces,sometimes,english,single,4,8,1,5,5,82
17,f,26,average,anything,socially,never,working on college/university,hispanic   latin,64,-1,banking / financial / real estate,"san francisco, california",doesn&rsquo;t have kids,straight,,other,aries,no,english,single,4,3,10,4,7,76
18,m,31,average,vegetarian,rarely,never,graduated from space camp,white,71,-1,medicine / health,"san francisco, california",,straight,likes dogs and likes cats,christianity,libra,no,english,single,6,5,6,3,3,65
19,m,33,athletic,anything,socially,never,graduated from masters program,white,72,-1,science / tech / engineering,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,catholicism,pisces,no,english,single,9,8,8,7,2,89
20,f,27,average,anything,socially,never,graduated from college/university,white,67,-1,sales / marketing / biz dev,"san francisco, california",,straight,likes dogs and dislikes cats,catholicism,libra,no,english,single,8,1,3,1,6,75
21,f,22,athletic,anything,socially,never,working on college/university,white,67,-1,student,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,catholicism,taurus,no,english,single,8,4,2,10,3,67
22,m,30,fit,anything,socially,never,graduated from college/university,white,69,-1,executive / management,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism,sagittarius,no,"english,",single,4,6,6,10,3,85
23,m,30,thin,vegan,not at all,never,graduated from college/university,white,71,-1,education / academia,"san francisco, california",,straight,likes dogs and likes cats,atheism,aquarius,no,english,single,9,1,1,8,8,69
